time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,qfi,entropy,purity,linear_entropy,simulator,n_traj_used,max_hierarchy_used
800.0,4.5519825086313716e-11,4.004238974322614e-11,2.2638608092597118e-11,3.184408993307872e-11,1.6711750358915683e-11,1.9471386168853228e-12,3.1809324900448746e-14,6.902616033570719e-10,78323.02565912086,1.6578623771787373e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
802.0,4.425995966275065e-11,3.923812175228027e-11,2.1428953406203816e-11,3.13159190069776e-11,1.5071581794883098e-11,1.7930256251058745e-12,5.976219065654418e-15,6.55754934228714e-10,79702.66148711013,1.6578623771787373e-10,0.9999999999999998,2.220446049250313e-16,MesoHOPS,1.0,10.0
804.0,4.348871323487206e-11,3.793447709813063e-11,2.104657646234875e-11,3.095273458508046e-11,1.3067191750826624e-11,1.6235307541934275e-12,1.8767447267092046e-15,6.267959566687853e-10,80705.36260893944,1.6578612669557127e-10,1.0000000000000004,-4.440892098500626e-16,MesoHOPS,1.0,10.0
806.0,4.3213341599387714e-11,3.616433826844567e-11,2.0461555322296846e-11,3.0254491396369026e-11,1.1059412017687466e-11,1.491017901293876e-12,1.229147508579783e-14,6.009270221141062e-10,82092.59116321043,1.6578623771787373e-10,1.0,0.0,MesoHOPS,1.0,10.0
808.0,4.0385273570805333e-11,3.47223556935979e-11,2.0034351812518286e-11,2.951002454452009e-11,9.503563558843708e-12,1.3664386888702405e-12,3.0849295870293593e-14,5.711120203954028e-10,84423.44384489037,1.657863487401762e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
810.0,3.907349532440374e-11,3.332157227774465e-11,1.9688973613115628e-11,2.9104197005987464e-11,7.977973524527359e-12,1.2118935892773e-12,5.2390185427559155e-14,5.460740082283253e-10,85445.66372755369,1.6578590465096634e-10,0.9999999999999997,3.3306690738754696e-16,MesoHOPS,1.0,10.0
812.0,3.734691500614853e-11,3.1541941814243e-11,1.9727007385760745e-11,2.7457841023225638e-11,6.7011062156049446e-12,1.0484239542417555e-12,7.695853501689239e-14,5.16136950242036e-10,87203.78397138669,1.6578612669557127e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
814.0,3.495918791816035e-11,2.982816458465674e-11,1.9226323984876294e-11,2.4880824710287174e-11,5.6643771220238596e-12,9.2474288351474e-13,9.894908278253142e-14,4.799331184821333e-10,89223.15734529689,1.6578612669557127e-10,1.0,0.0,MesoHOPS,1.0,10.0
816.0,3.211759556962404e-11,2.822457990949821e-11,1.9053362724482553e-11,2.2957327614333424e-11,4.720224848473732e-12,8.507849828861842e-13,1.174244258514024e-13,4.476910707083519e-10,90934.04667674865,1.6578612669557127e-10,1.0,0.0,MesoHOPS,1.0,10.0
818.0,2.9576488644373004e-11,2.654904913663388e-11,1.8696239266550662e-11,2.1217974165927858e-11,3.967131852597982e-12,7.8913700648217e-13,1.3428319614463884e-13,4.1744070980926447e-10,92240.00218535421,1.6578590465096634e-10,1.0000000000000007,-6.661338147750939e-16,MesoHOPS,1.0,10.0
820.0,2.6770718139391423e-11,2.4889667678832525e-11,1.8592905344396248e-11,1.9089559561645205e-11,3.38038796062685e-12,7.306546241736679e-13,1.4523867739198175e-13,3.868247947610348e-10,8.802698660474013e-06,2.327177283101271e-09,8.760797508618365e-21,1.0,MesoHOPS,1.0,10.0
822.0,2.419440369892632e-11,2.2941891342703807e-11,1.8821572220152216e-11,1.6739763368278778e-11,2.899618178891781e-12,6.810513679243454e-13,1.4405558869215161e-13,3.565113726604137e-10,8.220719963866734e-06,2.1683454858115993e-09,7.468823576070647e-21,1.0,MesoHOPS,1.0,10.0
824.0,2.251271137006982e-11,2.1662310699592512e-11,1.9392483876020745e-11,1.451077798484021e-11,2.348033263668628e-12,6.204456222626048e-13,1.3791120836528784e-13,3.310435119254476e-10,7.756950457185087e-06,2.052054762437829e-09,6.5909512965162524e-21,1.0,MesoHOPS,1.0,10.0
826.0,2.1291931878965762e-11,2.061078654315623e-11,1.986741115668423e-11,1.2397619790667627e-11,1.948984872849376e-12,5.470894754164325e-13,1.275978473039798e-13,3.083674636302487e-10,7.284144487581456e-06,1.954252819815142e-09,5.89692242598025e-21,1.0,MesoHOPS,1.0,10.0
828.0,2.0595482779211644e-11,1.9183072077314043e-11,1.9749254548665878e-11,1.0657984787140553e-11,1.5975867658713277e-12,4.697050050284905e-13,1.1970098954184309e-13,2.8567038197421873e-10,6.753313908356627e-06,1.8556321349448525e-09,5.2378202913115825e-21,1.0,MesoHOPS,1.0,10.0
830.0,2.0270121630240897e-11,1.77210808470341e-11,1.9931451318463825e-11,9.281883721781095e-12,1.2959864695348336e-12,4.062352131244025e-13,1.1305400803336021e-13,2.67151506373552e-10,6.310751693939477e-06,1.7806169867655534e-09,4.763734615296546e-21,1.0,MesoHOPS,1.0,10.0
832.0,2.0066227979080132e-11,1.6551737793124797e-11,1.9853091426572427e-11,8.099199756772094e-12,1.0142449037878286e-12,3.5769142691204165e-13,1.0397444358975948e-13,2.4998011930347046e-10,5.952185680120178e-06,1.7139523581694264e-09,4.3620962717980375e-21,1.0,MesoHOPS,1.0,10.0
834.0,1.9636704731800132e-11,1.5022381155756844e-11,1.951091168036971e-11,7.152864827728623e-12,7.873460838451719e-13,3.1491076153559e-13,9.59815578984871e-14,2.3184521536560273e-10,5.569196853744278e-06,1.6347517135870736e-09,3.9088880451105356e-21,1.0,MesoHOPS,1.0,10.0
836.0,1.8712792511450764e-11,1.3440243183076787e-11,2.0091041916335656e-11,6.145523569958885e-12,5.783162398684271e-13,2.6910883417441197e-13,8.821945473562788e-14,2.138987204831366e-10,5.288542010462369e-06,1.5627761923074737e-09,3.5194847785044796e-21,1.0,MesoHOPS,1.0,10.0
838.0,1.799841358527438e-11,1.1956021122142911e-11,1.9957567513880268e-11,5.212566017927019e-12,4.3179056602181803e-13,2.310124680787277e-13,7.844750016139071e-14,1.9594428646846193e-10,4.958076461037535e-06,1.484670197172851e-09,3.1209897072320375e-21,1.0,MesoHOPS,1.0,10.0
840.0,1.6798716315522366e-11,1.0769835085961272e-11,1.9940482991728613e-11,4.375499182884601e-12,3.131661717008147e-13,1.9606090595540497e-13,7.000120964314912e-14,1.7871580049006655e-10,4.704716589296045e-06,1.4076505052759823e-09,2.752446308859147e-21,1.0,MesoHOPS,1.0,10.0
842.0,1.5464627321020824e-11,9.43781213588764e-12,1.974062664888249e-11,3.460065280276704e-12,2.117424675683723e-13,1.6812105700887225e-13,5.93986319594365e-14,1.5944239398386901e-10,4.329686723285904e-06,1.3185992181833172e-09,2.3563639708450758e-21,1.0,MesoHOPS,1.0,10.0
844.0,1.4003113202789769e-11,8.128482213529191e-12,1.933980215351481e-11,2.8091218852534905e-12,1.3957058918930642e-13,1.4092497523096289e-13,4.9182903449443876e-14,1.4137485853362478e-10,3.95625123350299e-06,1.2289835892919209e-09,1.9900697587253955e-21,1.0,MesoHOPS,1.0,10.0
846.0,1.2516235528287657e-11,6.9342422083191156e-12,1.9120507180345216e-11,2.2725677943398913e-12,9.783924872070623e-14,1.2184533720877006e-13,4.12864734781094e-14,1.257282218876272e-10,3.628911333226653e-06,1.148796822781906e-09,1.6895818744159973e-21,1.0,MesoHOPS,1.0,10.0
848.0,1.106899731652496e-11,5.793387106805679e-12,1.8726513528117022e-11,1.8094708643648073e-12,8.091716764661786e-14,1.0549520674439953e-13,3.353766348107512e-14,1.1119553493390924e-10,3.2843111054499155e-06,1.0687585711206006e-09,1.4151379133774795e-21,1.0,MesoHOPS,1.0,10.0
850.0,9.460732902923866e-12,4.825187269514386e-12,1.8222913418168642e-11,1.4011565784677097e-12,7.827330149507279e-14,9.00590990659518e-14,2.576970506781991e-14,9.735125851394615e-11,2.954744601347143e-06,9.877494442985533e-10,1.1630891098814872e-21,1.0,MesoHOPS,1.0,10.0
852.0,8.08133702457519e-12,3.977862428622125e-12,1.795282297359882e-11,1.0987095424751279e-12,8.630926977302067e-14,7.72778888494869e-14,1.998941047874352e-14,8.61171136532029e-11,2.623879831053695e-06,9.227198704389338e-10,9.793337468948549e-22,1.0,MesoHOPS,1.0,10.0
854.0,6.920554121205532e-12,3.2490600227361887e-12,1.8174500469659465e-11,8.665293113298013e-13,9.877911811615943e-14,6.798808599957987e-14,1.443813699410485e-14,7.716085125689344e-11,2.3642110550549607e-06,8.785473981681268e-10,8.63880803277665e-22,1.0,MesoHOPS,1.0,10.0
856.0,6.034062805840454e-12,2.6686004538714093e-12,1.8361155455768042e-11,7.019682130363153e-13,1.185035205654476e-13,5.892002707834595e-14,1.05017733042846e-14,7.010186189758213e-11,2.138826433945318e-06,8.450745035648144e-10,7.814100285258504e-22,1.0,MesoHOPS,1.0,10.0
